Numero de vaca;Address;Fecha/hora de visita;tiempo en cubiculo;Produccion de leche;tiempo;Descripcion;CIB;
198;101;19/02/2022 5:13:00;4:30;11;4:30;Correcto;198;
170;101;19/02/2022 5:23:00;9:09;11.2;9:09;Correcto;170;
221;101;19/02/2022 5:28:00;5:41;10.7;5:41;Correcto;221;
77;101;19/02/2022 5:40:00;11:14;18.9;11:14;Correcto;77;
259;101;19/02/2022 5:48:00;7:38;11.8;7:38;Correcto;259;
175;101;19/02/2022 5:58:00;9:08;19.7;9:08;Correcto;175;
149;101;19/02/2022 6:26:00;6:50;9.8;6:50;Correcto;149;
231;101;19/02/2022 6:37:00;6:07;11.5;6:07;Correcto;231;
13;101;19/02/2022 6:44:00;5:42;6;5:42;Correcto;13;
130;101;19/02/2022 6:57:00;7:06;13.1;7:06;Correcto;130;
473;101;19/02/2022 7:04:00;6:50;12;6:50;Correcto;473;
246;101;19/02/2022 7:11:00;6:45;18.1;6:45;Correcto;246;
53;101;19/02/2022 7:17:00;5:51;13.6;5:51;Correcto;53;
516;101;19/02/2022 7:21:00;4:08;9.8;4:08;Correcto;516;
31;101;19/02/2022 7:26:00;4:22;9.5;4:22;Correcto;31;
404;101;19/02/2022 7:31:00;4:57;13.6;4:57;Correcto;404;
280;101;19/02/2022 7:40:00;7:48;12.5;7:48;Correcto;280;
76;101;19/02/2022 7:46:00;5:18;10.6;5:18;Correcto;76;
226;101;19/02/2022 7:52:00;5:59;13.1;5:59;Correcto;226;
228;101;19/02/2022 7:57:00;5:12;8.7;5:12;Correcto;228;
138;101;19/02/2022 8:02:00;4:02;13;4:02;Correcto;138;
47;101;19/02/2022 8:07:00;5:20;12;5:20;Correcto;47;
208;101;19/02/2022 8:14:00;6:13;11.1;6:13;Correcto;208;
167;101;19/02/2022 8:21:00;7:14;13.1;7:14;Correcto;167;
224;101;19/02/2022 8:27:00;5:51;9.3;5:51;Correcto;224;
412;101;19/02/2022 8:34:00;6:47;14.2;6:47;Correcto;412;
240;101;19/02/2022 8:39:00;5:15;12.9;5:15;Correcto;240;
196;101;19/02/2022 8:48:00;8:22;11.3;8:22;Correcto;196;
81;101;19/02/2022 8:54:00;6:15;8.4;6:15;Correcto;81;
153;101;19/02/2022 9:05:00;6:06;14.3;6:06;Correcto;153;
236;101;19/02/2022 9:11:00;5:29;15.8;5:29;Correcto;236;
245;101;19/02/2022 9:17:00;6:01;9.9;6:01;Correcto;245;
220;101;19/02/2022 9:21:00;4:24;10.5;4:24;Correcto;220;
212;101;19/02/2022 9:28:00;6:11;12.2;6:11;Correcto;212;
132;101;19/02/2022 9:34:00;6:00;11.5;6:00;Correcto;132;
49;101;19/02/2022 9:44:00;9:33;23.2;9:33;Correcto;49;
72;101;19/02/2022 9:49:00;5:11;12.6;5:11;Correcto;72;
291;101;19/02/2022 10:09:00;5:41;11.1;5:41;Correcto;291;
532;101;19/02/2022 10:20:00;10:55;12.5;10:55;Correcto;532;
90;101;19/02/2022 10:28:00;8:00;23.7;8:00;Correcto;90;
227;101;19/02/2022 10:34:00;5:39;10.9;5:39;Correcto;227;
146;101;19/02/2022 10:41:00;7:31;16.2;7:31;Correcto;146;
163;101;19/02/2022 10:52:00;10:05;18.1;10:05;Correcto;163;
302;101;19/02/2022 10:57:00;5:30;15;5:30;Correcto;302;
171;101;19/02/2022 11:09:00;12:15;22.4;12:15;Correcto;171;
84;101;19/02/2022 11:18:00;8:53;15.4;8:53;Correcto;84;
392;101;19/02/2022 11:28:00;9:02;6.3;9:02;Correcto;392;
160;101;19/02/2022 11:37:00;5:38;12.5;5:38;Correcto;160;
218;101;19/02/2022 11:51:00;6:36;15.9;6:36;Correcto;218;
249;101;19/02/2022 11:56:00;5:11;15.2;5:11;Correcto;249;
206;101;19/02/2022 12:03:00;6:12;19;6:12;Correcto;206;
185;101;19/02/2022 12:09:00;5:36;12.2;5:36;Correcto;185;
32;101;19/02/2022 12:14:00;5:15;13.9;5:15;Correcto;32;
394;101;19/02/2022 12:24:00;10:07;15;10:07;Correcto;394;
247;101;19/02/2022 12:36:00;11:06;22.2;11:06;Correcto;247;
246;101;19/02/2022 12:42:00;6:43;8.8;6:43;Correcto;246;
168;101;19/02/2022 12:49:00;6:54;15.7;6:54;Correcto;168;
195;101;19/02/2022 13:00:00;10:13;19.4;10:13;Correcto;195;
