cow,date,kgm,time,meanCH4,meanCO2,meanRatioCH4_CO2,AUC_CH4,AUC_Ratio,peaks,peaks_per_minute,Sum_of_PeaksCH4,Sum_of_PeaksCO2,Sum_of_PeaksRatio,Mean_of_PeaksCH4,Mean_of_PeaksRatio,Sum_MaxPeak,meanCH4_5s,Sum_of_PeaksCH4_5s,validity
3132,Wed Aug 10 21:47:21 CEST 2022,18.82,418,663.2,6769.02,0.08,55419.62,6.18,4,0.57,27931.58,260003.54,3.12,113.26,0.01,985.41,653.5,5539.23,11
2505,Wed Aug 10 21:55:45 CEST 2022,13.75,394,845.37,4308.57,0.1,71230.96,8.26,4,0.61,35707.61,158747.21,4.14,134.33,0.02,1685.03,845.67,7110.15,1
5920,Wed Aug 10 22:02:21 CEST 2022,25.53,418,661.24,3140.86,0.11,41162.58,7.53,4,0.57,20638.56,108583.92,3.79,88.96,0.02,848.9,704.07,4090.05,1
7437,Wed Aug 10 22:12:00 CEST 2022,13.37,499,355.73,5402.1,0.05,20170.34,2.91,3,0.36,10109.82,139042.24,1.46,44.26,0.01,229.06,356.83,2021.24,1
7442,Wed Aug 10 22:27:10 CEST 2022,9.88,309,317.33,8020.23,0.03,24813.59,2.3,7,1.36,12745.63,312424.85,1.19,62.88,0.01,516.5,314.17,2543.69,0
6239,Wed Aug 10 22:33:38 CEST 2022,7.15,281,685.85,8028.8,0.07,73663.35,7.49,4,0.85,37200,399567.54,3.77,171.14,0.02,1101.78,682.5,7362.28,11
7443,Wed Aug 10 22:38:21 CEST 2022,4.35,298,313.93,4645.01,0.06,30433.29,6.21,5,1.01,15373.69,246219.06,3.14,59.98,0.01,499.33,311.66,3051.54,0
5546,Wed Aug 10 22:47:27 CEST 2022,5.97,352,71.43,1601.77,0.03,6516.48,1.72,1,0.17,3276.14,74365.91,0.87,40.95,0.01,63.07,71.67,651.14,1
6721,Wed Aug 10 23:05:39 CEST 2022,9.73,280,332.31,6519.89,0.04,37459.29,4.37,4,0.86,18947.14,350691.43,2.21,88.49,0.01,487.5,330.36,3762.86,0
9779,Wed Aug 10 23:19:31 CEST 2022,8.26,288,332.35,3706.91,0.09,35137.92,9.29,4,0.83,17624.58,190530.42,4.66,73.52,0.02,900.42,318.35,3736.67,10
2514,Wed Aug 10 23:31:22 CEST 2022,20.59,357,209.57,3963.07,0.08,15179.83,3.6,4,0.67,7702.52,129598.32,1.82,46.38,0.01,241.18,210.17,1564.71,11
6499,Wed Aug 10 23:42:10 CEST 2022,8.17,429,443.53,7092.03,0.04,22674.69,1.87,4,0.56,11533.99,181039.72,0.95,67.3,0.01,333.71,440.17,2302.1,11
2507,Wed Aug 10 23:57:22 CEST 2022,16.15,357,122.33,5325.09,0.02,5896.81,0.92,3,0.5,2985.21,116396.3,0.47,22.12,0,83.87,123.5,588.57,11
3153,Thu Aug 11 00:03:21 CEST 2022,13.69,538,216.86,4871.66,0.05,7172.57,1.52,3,0.33,3653.31,58934.5,0.77,33.23,0.01,142.3,218.97,724.24,11
5420,Thu Aug 11 00:15:14 CEST 2022,12.97,425,235.3,5775.17,0.04,16578.35,3.16,4,0.56,8312.47,209412.99,1.59,31.69,0.01,218.82,237,1656,1
